fullRegion,shortRegion
Global,GLB 
Andean Latin America,ALA
Australasia,AUA
Caribbean,CAR
Central Asia,CAS
Central Europe,CEU
Central Latin America,CLA
Central sub-Saharan Africa,CSA
East Asia,EAS
Eastern Europe,EEU
Eastern sub-Saharan Africa,ESA
High-income Asia Pacific,HAP
High-income North America,HNA
North Africa and Middle East,NAM
Oceania,OCA
South Asia,SAS
Southeast Asia,SEA
Southern Latin America,SLA
Southern sub-Saharan Africa,SSA
Tropical Latin America,TLA
Western Europe,WEU
Western sub-Saharan Africa,WSA
